record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
candidate_uio66_nh2_co2_298k_1bar_pdf_p6,mof_uio66_nh2_sonochemical,CO2,carbon dioxide,25,C,1,bar,3.2,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,pdf=uio66_nh2_sonochemical_2023; page=6; table_or_figure=Figure 6 / text paragraph,digitized_figure,medium,Candidate parsed value; needs final manual verification before moving to pdf_extracted_records.csv.
candidate_uio66_nh2_co2_298k_20bar_pdf_p6,mof_uio66_nh2_sonochemical,CO2,carbon dioxide,25,C,20,bar,18.05,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,pdf=uio66_nh2_sonochemical_2023; page=6; table_or_figure=Text paragraph; high-pressure result refers to Fig. S1,digitized_figure,medium,"Candidate parsed value; source references supplementary Fig. S1, so verify against SI before final inclusion."
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_000_1,mof_uio66_nh2_sonochemical,CO2,,25,C,0.000,bar,0.000,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_125_2,mof_uio66_nh2_sonochemical,CO2,,25,C,0.125,bar,0.683,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_250_3,mof_uio66_nh2_sonochemical,CO2,,25,C,0.250,bar,1.214,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_375_4,mof_uio66_nh2_sonochemical,CO2,,25,C,0.375,bar,1.658,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_500_5,mof_uio66_nh2_sonochemical,CO2,,25,C,0.500,bar,2.048,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_625_6,mof_uio66_nh2_sonochemical,CO2,,25,C,0.625,bar,2.395,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_750_7,mof_uio66_nh2_sonochemical,CO2,,25,C,0.750,bar,2.698,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_25_0_875_8,mof_uio66_nh2_sonochemical,CO2,,25,C,0.875,bar,2.969,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,,
