figure,series,gas_type,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,digitization_note
Fig6_CO2_273K,CG-9,CO2,273,K,0.0,atm,0.000,mmol/g,origin point
Fig6_CO2_273K,CG-3,CO2,273,K,0.0,atm,0.000,mmol/g,origin point
Fig6_CO2_273K,Cu-BTC,CO2,273,K,0.0,atm,0.000,mmol/g,origin point
Fig6_CO2_273K,CG-15,CO2,273,K,0.0,atm,0.000,mmol/g,origin point
Fig6_CO2_273K,GO,CO2,273,K,0.0,atm,0.000,mmol/g,origin point
Fig6_CO2_273K,CG-9,CO2,273,K,0.1,atm,1.855,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-3,CO2,273,K,0.1,atm,0.871,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,Cu-BTC,CO2,273,K,0.1,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-15,CO2,273,K,0.1,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,GO,CO2,273,K,0.1,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-9,CO2,273,K,0.2,atm,3.030,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-3,CO2,273,K,0.2,atm,2.041,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,Cu-BTC,CO2,273,K,0.2,atm,0.753,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-15,CO2,273,K,0.2,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,GO,CO2,273,K,0.2,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-9,CO2,273,K,0.3,atm,4.089,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-3,CO2,273,K,0.3,atm,3.377,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,Cu-BTC,CO2,273,K,0.3,atm,2.341,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-15,CO2,273,K,0.3,atm,0.881,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,GO,CO2,273,K,0.3,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-9,CO2,273,K,0.4,atm,4.916,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-3,CO2,273,K,0.4,atm,3.955,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,Cu-BTC,CO2,273,K,0.4,atm,2.574,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-15,CO2,273,K,0.4,atm,0.786,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,GO,CO2,273,K,0.4,atm,,mmol/g,auto grayscale vertical-slice digitization; needs QA
Fig6_CO2_273K,CG-9,CO2,273,K,0.5,atm,5.584,mmol/g,auto grayscale vertical-slice digitization; needs QA
