series,gas_type,synthesis_method,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,digitization_note
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,0.000,bar,0.000,mmol/g,origin point
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,0.125,bar,0.683,mmol/g,auto color digitized; pixels=81
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,0.250,bar,1.214,mmol/g,auto color digitized; pixels=70
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,0.375,bar,1.658,mmol/g,auto color digitized; pixels=53
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,0.500,bar,2.048,mmol/g,auto color digitized; pixels=51
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,0.625,bar,2.395,mmol/g,auto color digitized; pixels=51
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,0.750,bar,2.698,mmol/g,auto color digitized; pixels=49
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,0.875,bar,2.969,mmol/g,auto color digitized; pixels=53
CO2-Sonochemical-25C,CO2,Sonochemical,25,C,1.000,bar,3.207,mmol/g,auto color digitized; pixels=42
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,0.000,bar,0.000,mmol/g,origin point
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,0.125,bar,0.433,mmol/g,auto color digitized; pixels=60
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,0.250,bar,0.813,mmol/g,auto color digitized; pixels=59
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,0.375,bar,1.138,mmol/g,auto color digitized; pixels=58
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,0.500,bar,1.430,mmol/g,auto color digitized; pixels=58
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,0.625,bar,1.680,mmol/g,auto color digitized; pixels=60
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,0.750,bar,1.918,mmol/g,auto color digitized; pixels=56
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,0.875,bar,2.124,mmol/g,auto color digitized; pixels=59
CO2-Solvothermal-25C,CO2,Solvothermal,25,C,1.000,bar,2.330,mmol/g,auto color digitized; pixels=50
CO2-Sonochemical-50C,CO2,Sonochemical,50,C,0.000,bar,0.000,mmol/g,origin point
CO2-Sonochemical-50C,CO2,Sonochemical,50,C,0.125,bar,0.498,mmol/g,auto color digitized; pixels=62
