record_id,mof_id,MOF_name,chemical_formula,metal_node,organic_linker,pore_size,pore_size_unit,CSD_refcode,MOFid,MOFkey,source_material_id,topology,surface_area_BET,surface_area_BET_unit,pore_volume,pore_volume_unit,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,measurement_type,capacity_value,capacity_unit,isotherm_id,DOI,publication_year,source_id,source_type,source_url,source_location,source_database,extraction_method,extraction_confidence,notes
mofxdb_hMOF-9_iso5105130_p1,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CO2,CarbonDioxide,298.0,K,0.01,bar,capacity,0.44189,mol/kg,5105130,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105130.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5105130_p2,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CO2,CarbonDioxide,298.0,K,0.1,bar,capacity,1.86576,mol/kg,5105130,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105130.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5105130_p3,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CO2,CarbonDioxide,298.0,K,2.5,bar,capacity,8.83391,mol/kg,5105130,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105130.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5105130_p4,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CO2,CarbonDioxide,298.0,K,0.05,bar,capacity,0.994454,mol/kg,5105130,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105130.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5105130_p5,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CO2,CarbonDioxide,298.0,K,0.5,bar,capacity,3.78142,mol/kg,5105130,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105130.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5380735_p1,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,N2,Nitrogen,298.0,K,0.09,bar,capacity,0.0142199,mol/kg,5380735,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5380735.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5380735_p2,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,N2,Nitrogen,298.0,K,0.9,bar,capacity,0.140723,mol/kg,5380735,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5380735.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5518387_p1,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CH4,Methane,298.0,K,2.5,bar,capacity,0.674506,mol/kg,5518387,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518387.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5518387_p2,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CH4,Methane,298.0,K,4.5,bar,capacity,1.20359,mol/kg,5518387,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518387.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5518387_p3,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CH4,Methane,298.0,K,0.05,bar,capacity,0.0118052,mol/kg,5518387,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518387.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5518387_p4,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CH4,Methane,298.0,K,0.5,bar,capacity,0.14126,mol/kg,5518387,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518387.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5518387_p5,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CH4,Methane,298.0,K,0.9,bar,capacity,0.237177,mol/kg,5518387,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518387.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso5737348_p1,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,CH4,Methane,298.0,K,35.0,bar,capacity,123.417,cm3(STP)/cm3,5737348,10.1038/nchem.1192,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5737348.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-9_iso6012953_p1_Xenon,mofxdb_hMOF-9,hMOF-9,C24 F9 H3 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,9.75,A,,,,15347,,2935.5,m2/g,,,Xe,Xenon,273.0,K,1.0,bar,capacity,0.248848,mol/kg,6012953,10.1039/C2SC01097F,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/6012953.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=0.2; origin and units require final verification.
