record_id,mof_id,MOF_name,chemical_formula,metal_node,organic_linker,pore_size,pore_size_unit,CSD_refcode,MOFid,MOFkey,source_material_id,topology,surface_area_BET,surface_area_BET_unit,pore_volume,pore_volume_unit,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,measurement_type,capacity_value,capacity_unit,isotherm_id,DOI,publication_year,source_id,source_type,source_url,source_location,source_database,extraction_method,extraction_confidence,notes
mofxdb_hMOF-0_iso5105121_p1,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CO2,CarbonDioxide,298.0,K,0.01,bar,capacity,0.0224065,mol/kg,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105121.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p2,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CO2,CarbonDioxide,298.0,K,0.1,bar,capacity,0.225851,mol/kg,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105121.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p3,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CO2,CarbonDioxide,298.0,K,2.5,bar,capacity,4.33307,mol/kg,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105121.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p4,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CO2,CarbonDioxide,298.0,K,0.05,bar,capacity,0.0735519,mol/kg,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105121.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p5,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CO2,CarbonDioxide,298.0,K,0.5,bar,capacity,0.885221,mol/kg,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5105121.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5380726_p1,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,N2,Nitrogen,298.0,K,0.09,bar,capacity,0.0178603,mol/kg,5380726,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5380726.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5380726_p2,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,N2,Nitrogen,298.0,K,0.9,bar,capacity,0.168861,mol/kg,5380726,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5380726.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5518378_p1,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CH4,Methane,298.0,K,2.5,bar,capacity,0.925975,mol/kg,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518378.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5518378_p2,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CH4,Methane,298.0,K,4.5,bar,capacity,1.7128,mol/kg,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518378.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5518378_p3,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CH4,Methane,298.0,K,0.05,bar,capacity,0.0186721,mol/kg,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518378.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5518378_p4,mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,Zn,from MOFid/CIF; not normalized yet,10.75,A,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,pcu,3676.3,m2/g,,,CH4,Methane,298.0,K,0.5,bar,capacity,0.176655,mol/kg,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,https://mof.tech.northwestern.edu/isotherms/5518378.json,,MOFX-DB,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
