record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
mofxdb_hMOF-6_iso5105127_p1,mofxdb_hMOF-6,CO2,CarbonDioxide,298.0,K,0.01,bar,0.107653,mol/kg,capacity,5105127,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105127.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5105127_p2,mofxdb_hMOF-6,CO2,CarbonDioxide,298.0,K,0.1,bar,1.19017,mol/kg,capacity,5105127,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105127.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5105127_p3,mofxdb_hMOF-6,CO2,CarbonDioxide,298.0,K,2.5,bar,8.49693,mol/kg,capacity,5105127,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105127.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5105127_p4,mofxdb_hMOF-6,CO2,CarbonDioxide,298.0,K,0.05,bar,0.702453,mol/kg,capacity,5105127,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105127.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5105127_p5,mofxdb_hMOF-6,CO2,CarbonDioxide,298.0,K,0.5,bar,2.80141,mol/kg,capacity,5105127,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105127.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5380732_p1,mofxdb_hMOF-6,N2,Nitrogen,298.0,K,0.09,bar,0.0185118,mol/kg,capacity,5380732,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5380732.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5380732_p2,mofxdb_hMOF-6,N2,Nitrogen,298.0,K,0.9,bar,0.161765,mol/kg,capacity,5380732,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5380732.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5518384_p1,mofxdb_hMOF-6,CH4,Methane,298.0,K,2.5,bar,0.765963,mol/kg,capacity,5518384,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518384.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5518384_p2,mofxdb_hMOF-6,CH4,Methane,298.0,K,4.5,bar,1.38056,mol/kg,capacity,5518384,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518384.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5518384_p3,mofxdb_hMOF-6,CH4,Methane,298.0,K,0.05,bar,0.0145247,mol/kg,capacity,5518384,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518384.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-6_iso5518384_p4,mofxdb_hMOF-6,CH4,Methane,298.0,K,0.5,bar,0.159771,mol/kg,capacity,5518384,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518384.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
