record_id,mof_id,gas_type,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_1_3_2_mmol_g_nan_1,pdf_uio_66_nh2,CO2,25.0,C,1.0,bar,3.2,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,pdf=uio66_nh2_sonochemical_2023; page=6; table_or_figure=Figure 6 / text paragraph,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_20_18_05_mmol_g_nan_2,pdf_uio_66_nh2,CO2,25.0,C,20.0,bar,18.05,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,pdf=uio66_nh2_sonochemical_2023; page=6; table_or_figure=Text paragraph; high-pressure result refers to Fig. S1,digitized_figure,medium,Parsed from source; supplementary figure reference should be checked before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_000_0_000_mmol_g_nan_3,pdf_uio_66_nh2,CO2,25.0,C,0.0,bar,0.0,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_125_0_683_mmol_g_nan_4,pdf_uio_66_nh2,CO2,25.0,C,0.125,bar,0.683,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_250_1_214_mmol_g_nan_5,pdf_uio_66_nh2,CO2,25.0,C,0.25,bar,1.214,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_375_1_658_mmol_g_nan_6,pdf_uio_66_nh2,CO2,25.0,C,0.375,bar,1.658,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_500_2_048_mmol_g_nan_7,pdf_uio_66_nh2,CO2,25.0,C,0.5,bar,2.048,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_625_2_395_mmol_g_nan_8,pdf_uio_66_nh2,CO2,25.0,C,0.625,bar,2.395,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_750_2_698_mmol_g_nan_9,pdf_uio_66_nh2,CO2,25.0,C,0.75,bar,2.698,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_875_2_969_mmol_g_nan_10,pdf_uio_66_nh2,CO2,25.0,C,0.875,bar,2.969,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_1_000_3_207_mmol_g_nan_11,pdf_uio_66_nh2,CO2,25.0,C,1.0,bar,3.207,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-25C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_000_0_000_mmol_g_nan_12,pdf_uio_66_nh2,CO2,25.0,C,0.0,bar,0.0,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_125_0_433_mmol_g_nan_13,pdf_uio_66_nh2,CO2,25.0,C,0.125,bar,0.433,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_250_0_813_mmol_g_nan_14,pdf_uio_66_nh2,CO2,25.0,C,0.25,bar,0.813,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_375_1_138_mmol_g_nan_15,pdf_uio_66_nh2,CO2,25.0,C,0.375,bar,1.138,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_500_1_430_mmol_g_nan_16,pdf_uio_66_nh2,CO2,25.0,C,0.5,bar,1.43,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_625_1_680_mmol_g_nan_17,pdf_uio_66_nh2,CO2,25.0,C,0.625,bar,1.68,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_750_1_918_mmol_g_nan_18,pdf_uio_66_nh2,CO2,25.0,C,0.75,bar,1.918,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_0_875_2_124_mmol_g_nan_19,pdf_uio_66_nh2,CO2,25.0,C,0.875,bar,2.124,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_25_1_000_2_330_mmol_g_nan_20,pdf_uio_66_nh2,CO2,25.0,C,1.0,bar,2.33,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-25C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_000_0_000_mmol_g_nan_21,pdf_uio_66_nh2,CO2,50.0,C,0.0,bar,0.0,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_125_0_498_mmol_g_nan_22,pdf_uio_66_nh2,CO2,50.0,C,0.125,bar,0.498,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_250_1_008_mmol_g_nan_23,pdf_uio_66_nh2,CO2,50.0,C,0.25,bar,1.008,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_375_1_387_mmol_g_nan_24,pdf_uio_66_nh2,CO2,50.0,C,0.375,bar,1.387,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_500_1_810_mmol_g_nan_25,pdf_uio_66_nh2,CO2,50.0,C,0.5,bar,1.81,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_625_2_146_mmol_g_nan_26,pdf_uio_66_nh2,CO2,50.0,C,0.625,bar,2.146,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_750_2_460_mmol_g_nan_27,pdf_uio_66_nh2,CO2,50.0,C,0.75,bar,2.46,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_875_2_731_mmol_g_nan_28,pdf_uio_66_nh2,CO2,50.0,C,0.875,bar,2.731,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_1_000_3_002_mmol_g_nan_29,pdf_uio_66_nh2,CO2,50.0,C,1.0,bar,3.002,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_000_0_000_mmol_g_nan_30,pdf_uio_66_nh2,CO2,50.0,C,0.0,bar,0.0,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_125_0_347_mmol_g_nan_31,pdf_uio_66_nh2,CO2,50.0,C,0.125,bar,0.347,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_250_0_704_mmol_g_nan_32,pdf_uio_66_nh2,CO2,50.0,C,0.25,bar,0.704,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_375_1_019_mmol_g_nan_33,pdf_uio_66_nh2,CO2,50.0,C,0.375,bar,1.019,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_500_1_214_mmol_g_nan_34,pdf_uio_66_nh2,CO2,50.0,C,0.5,bar,1.214,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_625_1_474_mmol_g_nan_35,pdf_uio_66_nh2,CO2,50.0,C,0.625,bar,1.474,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_750_1_745_mmol_g_nan_36,pdf_uio_66_nh2,CO2,50.0,C,0.75,bar,1.745,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
rec_paper_uio66_nh2_sonochemical_2023_uio_66_nh2_co2_50_0_875_1_983_mmol_g_nan_37,pdf_uio_66_nh2,CO2,50.0,C,0.875,bar,1.983,mmol/g,,10.1038/s41598-023-47221-6,2023.0,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,medium,Parsed from source; confidence=medium; verify against the primary source before reuse.
