mof_id,MOF_name,chemical_formula,metal_node,organic_linker,pore_size,pore_size_unit,surface_area_BET,surface_area_BET_unit,pore_volume,pore_volume_unit,molecular_weight,molecular_weight_unit,topology,CSD_refcode,MOFid,MOFkey,source_material_id,source_id,source_url,notes
pdf_uio_66_nh2,UiO-66-NH2,ZrO(H2O)1/3C8H3NH2O4 (as extracted from page text; verify formatting),Zr-based node,2-amino terephthalic acid / NH2-BDC,6.97,nm,993.1,m2/g,0.14,cm3/g,,,,,,,,paper_uio66_nh2_sonochemical_2023,https://www.nature.com/articles/s41598-023-47221-6,Parsed from source; confidence=medium; verify against the primary source before reuse.
pdf_cu_btc,Cu-BTC,Cu-BTC composite; verify exact formula,Cu paddlewheel,"benzene-1,3,5-tricarboxylate / BTC",9.0,A,1305.0,m2/g,0.5182,cm3/g,,,,,,,,paper_nanosized_cu_mofs_go_gas_storage,local PDF: Nanosized-Cu-MOFs-induced-by-graphene-oxide-and-enhanced-gas-storage-capacity.pdf,Parsed from Table 1.
pdf_cg_3,CG-3,Cu-BTC composite; verify exact formula,Cu paddlewheel,"benzene-1,3,5-tricarboxylate / BTC",9.0,A,1470.0,m2/g,0.6103,cm3/g,,,,,,,,paper_nanosized_cu_mofs_go_gas_storage,local PDF: Nanosized-Cu-MOFs-induced-by-graphene-oxide-and-enhanced-gas-storage-capacity.pdf,Parsed from Table 1. 3 wt% GO composite
pdf_cg_9,CG-9,Cu-BTC composite; verify exact formula,Cu paddlewheel,"benzene-1,3,5-tricarboxylate / BTC",9.0,A,1532.0,m2/g,0.6448,cm3/g,,,,,,,,paper_nanosized_cu_mofs_go_gas_storage,local PDF: Nanosized-Cu-MOFs-induced-by-graphene-oxide-and-enhanced-gas-storage-capacity.pdf,Parsed from Table 1. 9 wt% GO composite
pdf_cg_15,CG-15,Cu-BTC composite; verify exact formula,Cu paddlewheel,"benzene-1,3,5-tricarboxylate / BTC",9.0,A,500.0,m2/g,0.3119,cm3/g,,,,,,,,paper_nanosized_cu_mofs_go_gas_storage,local PDF: Nanosized-Cu-MOFs-induced-by-graphene-oxide-and-enhanced-gas-storage-capacity.pdf,Parsed from Table 1. 15 wt% GO composite
pdf_npf_200,NPF-200,not extracted; verify from article/SI,Zr-based MOF,not extracted; verify from article/SI,,,,,2.17,cm3/g,,,,,,,,paper_nihms_1670563,local PDF: nihms-1670563.pdf,Text extraction preview; required MOF identity fields need verification before final dataset inclusion.
mofxdb_hMOF-6,hMOF-6,C24 F6 H6 O13 Zn4,,,9.75,A,3174.5,m2/g,,,,,,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15338,db_mofxdb,https://mof.tech.northwestern.edu/isotherms/5105127.json,MOFX-DB category=exp; composition=1.0; source category and units retained as reported.
mofxdb_hMOF-0,hMOF-0,C24 H12 O13 Zn4,,,10.75,A,3676.3,m2/g,,,,,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu,15339,db_mofxdb,https://mof.tech.northwestern.edu/isotherms/5105121.json,MOFX-DB category=exp; composition=1.0; source category and units retained as reported.
mofxdb_hMOF-7,hMOF-7,C48 F12 H12 O26 Zn8,,,2.25,A,422.4,m2/g,,,,,,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15340,db_mofxdb,https://mof.tech.northwestern.edu/isotherms/5105128.json,MOFX-DB category=exp; composition=1.0; source category and units retained as reported.
mofxdb_hMOF-5,hMOF-5,C72 F18 H18 O39 Zn12,,,2.75,A,7.4,m2/g,,,,,,,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,Zn.LWKOWFVDUSZDRA.SEOCHRNHZMPVAE.YUWKPDBHJFNMAD.MOFkey-v1.pcu,15341,db_mofxdb,https://mof.tech.northwestern.edu/isotherms/5105126.json,MOFX-DB category=exp; composition=1.0; source category and units retained as reported.
